BJD - 2454833, Corrected Flux,
2148.332240694, 0.999290431,
2148.373104910, 0.999385645,
2148.393536867, 0.999554929,
2148.413969024, 0.999760518,
2148.434401080, 0.999742376,
2148.475265191, 0.999726551,
2148.495697246, 0.999786695,
2148.516129300, 0.999779552,
2148.536561354, 0.999797774,
2148.556993407, 0.999798632,
2148.577425460, 0.999721161,
2148.597857612, 0.999781144,
2148.618289564, 0.999859494,
2148.638721615, 0.999728187,
2148.659153766, 0.999864043,
2148.679585716, 0.999661531,
2148.700017766, 0.999741197,
2148.740881864, 0.999691889,
2148.761313913, 0.999687789,
2148.781746061, 0.999869862,
2148.802178009, 0.999759768,
2148.822610055, 0.999689624,
2148.843042202, 0.999723612,
2148.863474148, 0.999678722,
2148.883906294, 0.999646211,
2148.904338239, 0.999700084,
2148.924770283, 0.999756080,
2148.945202428, 0.999695127,
2148.965634371, 0.999622398,
2148.986066414, 0.999612129,
2149.006498557, 0.999661673,
2149.026930599, 0.999597431,
2149.047362541, 0.999755715,
2149.067794682, 0.999639166,
2149.088226723, 0.999480897,
2149.108658663, 0.999364720,
2149.129090803, 0.999319184,
2149.149522842, 0.999384825,
2149.169954781, 0.999602621,
2149.190386919, 0.999666694,
2149.210818957, 0.999666661,
2149.231250895, 0.999584206,
2149.251683032, 0.999611311,
2149.272115068, 0.999573694,
2149.312979139, 0.999722766,
2149.333411175, 0.999749372,
2149.353843209, 0.999546364,
2149.374275243, 0.999621469,
2149.394707277, 0.999564804,
2149.415139310, 0.999586829,
2149.456003375, 0.999623608,
2149.476435507, 0.999657380,
2149.496867538, 0.999638822,
2149.517299469, 0.999716080,
2149.537731599, 0.999640603,
2149.558163629, 0.999694534,
2149.578595558, 0.999704348,
2149.599027687, 0.999636602,
2149.639891643, 0.999770322,
2149.660323771, 0.999725200,
2149.680755698, 0.999749275,
2149.701187724, 0.999563569,
2149.742051775, 0.999733913,
2149.762483800, 0.999662963,
2149.782915925, 0.999637189,
2149.803347849, 0.999660769,
2149.823779873, 0.999651525,
2149.844211996, 0.999678578,
2149.864644019, 0.999632341,
2149.885075941, 0.999515603,
2149.905508063, 0.997167671,
2149.946372005, 0.987809664,
2149.966804125, 0.987113669,
2149.987236145, 0.987102619,
2150.007668064, 0.987730713,
2150.028100183, 0.989750670,
2150.048532202, 0.997487324,
2150.068964320, 0.999575419,
2150.089396237, 0.999734522,
2150.109828255, 0.999655836,
2150.130260371, 0.999627644,
2150.150692287, 0.999880884,
2150.171124302, 0.999780924,
2150.191556418, 0.999559950,
2150.211988333, 0.999679063,
2150.252852461, 0.999839025,
2150.273284474, 0.999760886,
2150.293716387, 0.999889260,
2150.314148499, 0.999699651,
2150.334580511, 0.999634024,
2150.355012423, 0.999650984,
2150.375444533, 0.999689040,
2150.395876444, 0.999697444,
2150.416308454, 0.999633919,
2150.436740563, 0.999636904,
2150.457172472, 0.999678978,
2150.477604481, 0.999593558,
2150.498036589, 0.999624343,
2150.518468497, 0.999771672,
2150.538900504, 0.999672693,
2150.579764517, 0.999750557,
2150.620628629, 0.999501107,
2150.641060533, 0.999808476,
2150.681924642, 0.999589331,
2150.702356645, 0.999611735,
2150.722788648, 0.999529792,
2150.743220651, 0.999543454,
2150.763652653, 0.999714775,
2150.784084755, 0.999619848,
2150.804516655, 0.999651345,
2150.824948656, 0.999749585,
2150.845380756, 0.999662166,
2150.865812656, 0.999793983,
2150.886244656, 0.999622620,
2150.906676754, 0.999673976,
2150.927108653, 0.999625344,
2150.947540651, 0.999673414,
2150.967972748, 0.999702275,
2150.988404646, 0.999673794,
2151.008836642, 0.999796472,
2151.029268638, 0.999808995,
2151.049700633, 0.999715851,
2151.070132629, 0.999668399,
2151.090564724, 0.999676470,
2151.110996618, 0.999796976,
2151.131428611, 0.999691185,
2151.151860705, 0.999654105,
2151.172292597, 0.999734343,
2151.192724590, 0.999746640,
2151.213156682, 0.999603991,
2151.233588574, 0.999620621,
2151.254020664, 0.999718841,
2151.274452655, 0.999665497,
2151.294884545, 0.999680640,
2151.315316635, 0.999849344,
2151.335748624, 0.999814977,
2151.356180513, 0.999829460,
2151.376612601, 0.999751557,
2151.397044589, 0.999915658,
2151.417476476, 0.999876398,
2151.437908563, 0.999666337,
2151.458340550, 0.999714553,
2151.478772435, 0.999598990,
2151.499204521, 0.999418196,
2151.519636506, 0.999429416,
2151.540068490, 0.999573769,
2151.560500475, 0.999709240,
2151.580932458, 0.999655282,
2151.601364442, 0.999713824,
2151.621796524, 0.999578216,
2151.642228407, 0.999689777,
2151.662660388, 0.999573693,
2151.683092470, 0.999771244,
2151.703524351, 0.999867195,
2151.723956332, 0.999782222,
2151.744388412, 0.999683239,
2151.785252270, 0.999711142,
2151.805684349, 0.999665458,
2151.826116227, 0.999789095,
2151.846548205, 0.999728319,
2151.866980182, 0.999726759,
2151.907844235, 0.999747428,
2151.928276111, 0.999709019,
2151.948708087, 0.999763841,
2151.969140162, 0.999821367,
2151.989572137, 0.999832916,
2152.010004011, 0.999819273,
2152.030436084, 0.999675502,
2152.050868057, 0.999677864,
2152.071299930, 0.999777167,
2152.091732002, 0.999596079,
2152.112163975, 0.999712696,
2152.132595846, 0.999634192,
2152.153027917, 0.999805334,
2152.173459887, 0.999753358,
2152.193891758, 0.999689131,
2152.214323827, 0.999866181,
2152.234755796, 0.999651980,
2152.255187665, 0.999727189,
2152.275619733, 0.999482917,
2152.296051701, 0.999498107,
2152.316483568, 0.999600537,
2152.336915635, 0.999744933,
2152.357347602, 0.999840087,
2152.377779568, 0.999935716,
2152.398211533, 0.999898568,
2152.418643498, 0.999855762,
2152.439075463, 0.999745733,
2152.459507528, 0.999915410,
2152.479939391, 0.999858268,
2152.500371455, 0.999818380,
2152.520803417, 0.999844678,
2152.541235280, 0.999801322,
2152.561667342, 0.999789848,
2152.582099303, 0.999873520,
2152.602531164, 0.999709886,
2152.622963225, 0.999699776,
2152.643395085, 0.999701694,
2152.663827045, 0.999951487,
2152.684259104, 0.999815490,
2152.704690963, 0.999694462,
2152.725122921, 0.999652267,
2152.745554979, 0.999867094,
2152.765986837, 0.999838598,
2152.786418794, 0.999753592,
2152.806850851, 0.999727882,
2152.827282807, 0.999794806,
2152.847714663, 0.999823220,
2152.868146718, 0.999738181,
2152.888578673, 0.999746664,
2152.909010527, 0.999691894,
2152.929442581, 0.999747897,
2152.949874535, 0.999677881,
2152.970306388, 0.999717996,
2152.990738440, 0.999819130,
2153.011170392, 0.999897007,
2153.031602244, 0.999846739,
2153.052034295, 0.999624316,
2153.072466246, 0.999682431,
2153.092898296, 0.999817076,
2153.113330147, 0.999671139,
2153.133762096, 0.999849266,
2153.154194145, 0.999741506,
2153.174625994, 0.999683886,
2153.195057942, 0.999611083,
2153.215489990, 0.999834332,
2153.235921837, 0.999785180,
2153.256353784, 0.999908504,
2153.317649622, 0.999718843,
2153.338081567, 0.999808162,
2153.378945456, 0.999691004,
2153.399377499, 0.999704403,
2153.419809343, 0.999730441,
2153.440241286, 0.999829284,
2153.460673328, 0.999894068,
2153.481105170, 0.999709365,
2153.501537112, 0.999697375,
2153.521969153, 0.999767823,
2153.542400994, 0.999762106,
2153.562832934, 0.999662225,
2153.583264974, 0.999910415,
2153.603696813, 0.999740045,
2153.624128752, 0.999678835,
2153.644560791, 0.999800478,
2153.664992729, 0.999696298,
2153.705856603, 0.999868499,
2153.726288540, 0.999764104,
2153.746720477, 0.999830995,
2153.767152412, 0.999821910,
2153.787584348, 0.999747792,
2153.808016383, 0.999714490,
2153.828448217, 0.999507578,
2153.889744018, 0.999454964,
2153.910175951, 0.999689667,
2153.930607984, 0.999893739,
2153.951039816, 0.999720100,
2153.971471747, 0.999855678,
2153.991903778, 0.999619335,
2154.012335609, 0.999655399,
2154.032767539, 0.999720122,
2154.053199469, 0.999767948,
2154.073631398, 0.993443224,
2154.094063327, 0.988659071,
2154.114495256, 0.987343786,
2154.134927184, 0.987197529,
2154.155359112, 0.987437341,
2154.175791038, 0.988456822,
2154.196222965, 0.992675864,
2154.216654892, 0.999716997,
2154.237086918, 0.999795506,
2154.257518743, 0.999778045,
2154.277950768, 0.999696629,
2154.298382693, 0.999884618,
2154.318814517, 0.999933341,
2154.339246540, 0.999688555,
2154.359678464, 0.999827542,
2154.380110287, 0.999886681,
2154.400542309, 0.999844375,
2154.420974231, 0.999874821,
2154.441406053, 0.999754139,
