BJD - 2454833, Corrected Flux
3420.221585797, 0.999239735,
3420.242018085, 0.999392867,
3420.262450272, 0.999006216,
3420.282882359, 0.999056457,
3420.303314645, 0.998771141,
3420.323746831, 0.998957686,
3420.344178916, 0.999006952,
3420.364611201, 0.998945784,
3420.385043385, 0.999236767,
3420.405475469, 0.998881787,
3420.425907752, 0.999113161,
3420.487204299, 0.998863263,
3420.507636481, 0.998651533,
3420.528068662, 0.998789660,
3420.548500842, 0.998813449,
3420.568933022, 0.998663834,
3420.589365202, 0.998780533,
3420.609797381, 0.998699027,
3420.630229560, 0.998538874,
3420.650661638, 0.998640130,
3420.671093916, 0.998589488,
3420.691526093, 0.998511845,
3420.711958370, 0.998510342,
3420.732390446, 0.998723201,
3420.752822622, 0.998472587,
3420.773254897, 0.998256679,
3420.793686972, 0.998182166,
3420.814119147, 0.998766256,
3420.834551420, 0.998132400,
3420.854983494, 0.998464091,
3420.875415667, 0.998509130,
3420.895847939, 0.998086306,
3420.916280012, 0.998289701,
3420.957144454, 0.998251028,
3420.977576625, 0.998250306,
3420.998008695, 0.998594059,
3421.018440965, 0.998333847,
3421.038873134, 0.998206662,
3421.059305203, 0.998615564,
3421.079737471, 0.998100951,
3421.100169639, 0.998375303,
3421.120601707, 0.998068378,
3421.141033974, 0.998331331,
3421.161466140, 0.998003826,
3421.181898206, 0.998224325,
3421.202330472, 0.997760525,
3421.222762637, 0.998154565,
3421.243194702, 0.999875913,
3421.263626966, 0.997792206,
3421.284059130, 0.998099324,
3421.304491292, 0.998026967,
3421.324923455, 0.997833100,
3421.345355617, 0.998076739,
3421.365787680, 0.997903425,
3421.386219941, 0.998204436,
3421.406652102, 0.997858969,
3421.447516422, 0.997877416,
3421.467948582, 0.997826875,
3421.488381541, 0.997936244,
3421.508813799, 0.997872835,
3421.529245958, 0.997669211,
3421.549678015, 0.997831807,
3421.570110272, 0.997853878,
3421.590542429, 0.997668358,
3421.610974685, 0.997871451,
3421.631406741, 0.997768084,
3421.651838897, 0.997883542,
3421.672271151, 0.997624445,
3421.692703206, 0.997799028,
3421.713135360, 0.997807625,
3421.733567614, 0.997703583,
3421.753999667, 0.997568967,
3421.774431819, 0.997569620,
3421.794864071, 0.997687365,
3421.815296223, 0.997719294,
3421.835728274, 0.997622193,
3421.856160525, 0.997984554,
3421.876592675, 0.997538323,
3421.897024725, 0.997347758,
3421.937889124, 0.997589793,
3421.958321172, 0.997368282,
3421.978753420, 0.998094364,
3421.999185568, 0.997522992,
3422.019617615, 0.997344746,
3422.040049861, 0.997025908,
3422.060482008, 0.997520603,
3422.080914053, 0.997114847,
3422.101346299, 0.997517279,
3422.121778443, 0.997518871,
3422.142210588, 0.997484202,
3422.162642732, 0.997443923,
3422.183074875, 0.997543343,
3422.203507018, 0.997630886,
3422.223939161, 0.997663845,
3422.244371303, 0.997933659,
3422.264803444, 0.997387405,
3422.285235586, 0.998486602,
3422.305667727, 0.997405305,
3422.326099767, 0.997282038,
3422.346532006, 0.997359193,
3422.366964146, 0.997705972,
3422.387396185, 0.997378438,
3422.448692599, 0.997143981,
3422.469124836, 0.997349329,
3422.489556973, 0.997398611,
3422.509989109, 0.997700749,
3422.530421245, 0.997317675,
3422.550853380, 0.997363046,
3422.571285515, 0.997523965,
3422.591717649, 0.997123688,
3422.612149783, 0.997444084,
3422.632581916, 0.997361730,
3422.653014150, 0.997388258,
3422.673446182, 0.997443743,
3422.693878315, 0.997696087,
3422.714310546, 0.997433027,
3422.734742577, 0.997515769,
3422.755174808, 0.997538446,
3422.775606938, 0.997386375,
3422.796038968, 0.997279185,
3422.816471198, 0.997277775,
3422.836903327, 0.997374752,
3422.857335355, 0.997658852,
3422.877767583, 0.997504519,
3422.898199711, 0.997249455,
3422.918631738, 0.997102875,
3422.939063965, 0.997083925,
3422.959496091, 0.997316653,
3422.979928217, 0.997269202,
3423.000360342, 0.997159217,
3423.020792467, 0.997410316,
3423.041224492, 0.997169598,
3423.061656716, 0.997344628,
3423.082088839, 0.997221362,
3423.102520862, 0.997236942,
3423.122953085, 0.997420814,
3423.163817229, 0.997425339,
3423.184249451, 0.996943664,
3423.204681571, 0.996924891,
3423.225113592, 0.997232143,
3423.245545812, 0.997165932,
3423.265977932, 0.997292805,
3423.286409951, 0.997399073,
3423.306842170, 0.997143657,
3423.327274288, 0.997309218,
3423.347706406, 0.997560931,
3423.368138523, 0.997436526,
3423.388570640, 0.997425769,
3423.409002756, 0.997362579,
3423.429434872, 0.997340969,
3423.449866988, 0.997223964,
3423.470299103, 0.997538311,
3423.490731318, 0.997284624,
3423.511163332, 0.997277039,
3423.531595446, 0.996939316,
3423.552027659, 0.997290788,
3423.572459672, 0.997247282,
3423.592891784, 0.997263812,
3423.613323997, 0.996975096,
3423.654188119, 0.997098907,
3423.674620330, 0.997089529,
3423.695052340, 0.997176706,
3423.715484450, 0.997434755,
3423.735916660, 0.997331207,
3423.756348669, 0.997090595,
3423.776780777, 0.997048130,
3423.797212985, 0.996985940,
3423.817645093, 0.997122086,
3423.838077100, 0.997264157,
3423.858509306, 0.997138879,
3423.899373419, 0.997253261,
3423.919805624, 0.997078160,
3423.940237629, 0.997233227,
3423.960669734, 0.997131336,
3423.981101938, 0.997009490,
3424.001533942, 0.997173610,
3424.021966145, 0.997024405,
3424.042398247, 0.996991452,
3424.062830250, 0.997318808,
3424.083262452, 0.996921732,
3424.103694553, 0.996949151,
3424.124126554, 0.997984677,
3424.144558755, 0.997232806,
3424.164990855, 0.997927259,
3424.185422955, 0.997376081,
3424.205855054, 0.997043327,
3424.226287153, 0.997050774,
3424.246719251, 0.997255216,
3424.267151350, 0.997346960,
3424.287583447, 0.997260482,
3424.308015544, 0.997062518,
3424.328447741, 0.997306757,
3424.348879737, 0.997101808,
3424.389744028, 0.997243592,
3424.410176023, 0.996820708,
3424.430608118, 0.997465708,
3424.451040312, 0.996832455,
3424.471472305, 0.997067491,
3424.491904399, 0.997131158,
3424.512336592, 0.996996761,
3424.532768584, 0.996964791,
3424.553200676, 0.997047199,
3424.573632867, 0.996896927,
3424.594064858, 0.996829982,
3424.614496949, 0.997013067,
3424.634929039, 0.997115987,
3424.655361229, 0.997203183,
3424.675793218, 0.997405368,
3424.696225307, 0.997192791,
3424.716657395, 0.997200333,
3424.737089483, 0.996941494,
3424.757521671, 0.997333394,
3424.777953658, 0.996981710,
3424.798385745, 0.997121667,
3424.818817931, 0.997046973,
3424.839249917, 0.996920465,
3424.859682003, 0.997375883,
3424.880114187, 0.996920705,
3424.900546172, 0.997255129,
3424.920978256, 0.997297930,
3424.941410440, 0.997376811,
3424.961842423, 0.997461733,
3424.982274506, 0.997214869,
3425.002706688, 0.996965471,
3425.023138770, 0.997201503,
3425.043570752, 0.996990798,
3425.064002933, 0.997263954,
3425.084435014, 0.997272055,
3425.104866994, 0.997174852,
3425.125299174, 0.997039675,
3425.145731253, 0.997182806,
3425.166163232, 0.996985056,
3425.186595411, 0.996778892,
