BJD - 2454833, Corrected Flux
3157.875402049, 1.000269213,
3157.895834551, 1.000310806,
3157.916266954, 1.000309626,
3157.936699355, 1.000355610,
3157.957131756, 1.000268185,
3157.977564157, 1.000286716,
3157.997996657, 1.000270547,
3158.018428957, 1.000311762,
3158.038861355, 1.000359600,
3158.059293854, 1.000412738,
3158.120591046, 1.000534521,
3158.141023343, 1.000418885,
3158.161455738, 1.000501197,
3158.181888234, 1.000526914,
3158.202320529, 1.000479978,
3158.222752923, 1.000428581,
3158.243185417, 1.000481585,
3158.263617710, 1.000512359,
3158.284050203, 1.000440280,
3158.304482596, 1.000485152,
3158.324914988, 1.000518508,
3158.365779770, 1.000592129,
3158.386212160, 1.000529509,
3158.406644550, 1.000504232,
3158.427076939, 1.000487756,
3158.447509328, 1.000498294,
3158.467941716, 1.000453698,
3158.488374104, 1.000420972,
3158.508806491, 1.000565136,
3158.529238878, 1.000565256,
3158.549671264, 1.000536304,
3158.570103550, 1.000580538,
3158.610968420, 1.000581078,
3158.631400704, 1.000543928,
3158.651833188, 1.000525358,
3158.672265571, 1.000541086,
3158.692698054, 1.000545489,
3158.713130336, 1.000520014,
3158.733562718, 1.000616891,
3158.753995199, 1.000620119,
3158.774427480, 1.000625615,
3158.794859859, 1.000542427,
3158.815292339, 1.000585719,
3158.856156997, 1.000647121,
3158.876589475, 1.000602569,
3158.897021853, 1.000644242,
3158.917454130, 1.000627772,
3158.937886607, 1.000663276,
3158.958318982, 1.000677494,
3158.978751258, 1.000711504,
3158.999183734, 1.000634422,
3159.019616108, 1.000777593,
3159.040048382, 1.000691694,
3159.060480856, 1.000920124,
3159.101345501, 1.000816222,
3159.121777973, 1.000812859,
3159.142210345, 1.000760394,
3159.162642716, 1.000744921,
3159.183075087, 1.000745129,
3159.203507456, 1.000750754,
3159.223939826, 1.000815272,
3159.244372195, 1.000856330,
3159.264804564, 1.000802423,
3159.285236932, 1.000830236,
3159.305669299, 1.000973441,
3159.366966399, 1.000844971,
3159.387398764, 1.000808630,
3159.407831229, 1.000816547,
3159.428263494, 1.000902036,
3159.448695858, 1.000901766,
3159.469128321, 1.001021671,
3159.489560585, 1.000933594,
3159.509992947, 1.000947858,
3159.530425409, 1.000959135,
3159.550857670, 1.000982646,
3159.591722492, 1.001001828,
3159.612154752, 1.000954624,
3159.632587212, 1.000951520,
3159.653019571, 1.000969670,
3159.673451929, 1.001061376,
3159.693884287, 1.000990102,
3159.714316644, 1.001048497,
3159.734749002, 1.001107975,
3159.755181358, 1.001053127,
3159.775613714, 1.001045433,
3159.796046069, 1.001170298,
3159.836910779, 1.001052708,
3159.857343133, 1.001106220,
3159.877775586, 1.001080749,
3159.898207839, 1.001121876,
3159.918640192, 1.001123041,
3159.939072544, 1.001184122,
3159.959504895, 1.001106869,
3159.979937146, 1.001089263,
3160.020801947, 1.001184726,
3160.041234296, 1.001223026,
3160.082098994, 1.001161461,
3160.102531442, 1.001083726,
3160.122963689, 1.001133290,
3160.143396036, 1.001028466,
3160.163828483, 1.001058771,
3160.184260729, 1.001084498,
3160.204693074, 1.001121464,
3160.225125519, 1.001101897,
3160.245557864, 1.001096894,
3160.265990108, 1.001092449,
3160.286422551, 1.001060897,
3160.347719579, 1.000992341,
3160.368151920, 1.001029667,
3160.388584162, 1.001031919,
3160.409016602, 1.001095961,
3160.429448942, 1.000985605,
