BJD - 2454833, Corrected Flux
2384.831263234, 1.000421786,
2384.851695674, 1.000558652,
2384.872128013, 1.000965904,
2384.912992690, 1.001026230,
2384.933425028, 1.000951022,
2384.953857465, 1.000967188,
2384.974289702, 1.000960100,
2384.994722038, 1.001010784,
2385.015154473, 1.000994570,
2385.035586809, 1.000954491,
2385.056019044, 1.000813235,
2385.076451478, 1.000858918,
2385.096883812, 1.000835818,
2385.117316145, 1.000919202,
2385.137748478, 1.000895753,
2385.158180811, 1.000920919,
2385.178613142, 1.000795328,
2385.199045474, 1.000709314,
2385.219477805, 1.000911745,
2385.239910135, 1.001004162,
2385.260342465, 1.000843412,
2385.280774794, 1.000923933,
2385.301207123, 1.000867392,
2385.321639452, 1.000705585,
2385.342071880, 1.000815159,
2385.362504107, 1.000500538,
2385.382936434, 1.000572036,
2385.403368861, 1.000655078,
2385.423801087, 1.000631389,
2385.444233412, 1.000662073,
2385.464665838, 1.000680735,
2385.485098062, 1.000524722,
2385.505530386, 1.000614832,
2385.525962810, 1.000692288,
2385.546395033, 1.000657227,
2385.566827456, 1.000507350,
2385.587259778, 1.000539510,
2385.607692100, 1.000557831,
2385.628124421, 1.000440093,
2385.648556742, 1.000483822,
2385.668989062, 1.000564296,
2385.689421382, 1.000406033,
2385.709853701, 1.000393555,
2385.730286020, 1.000556108,
2385.750718438, 1.000455555,
2385.771150656, 1.000439719,
2385.791583074, 1.000235344,
2385.812015391, 1.000402299,
2385.832447607, 1.000273553,
2385.852880023, 1.000279954,
2385.873312338, 1.000566414,
2385.893744553, 1.000579054,
2385.914176968, 1.000414263,
2385.934609282, 1.000492472,
2385.955041495, 1.000424741,
2385.975473908, 1.000457628,
2385.995906121, 1.000429012,
2386.016338433, 1.000360285,
2386.036770845, 1.000352004,
2386.057203056, 1.000301436,
2386.077635467, 1.000364921,
2386.098067777, 1.000443199,
2386.138932396, 1.000365954,
2386.159364705, 1.000360612,
2386.179797013, 1.000365371,
2386.200229321, 1.000263363,
2386.220661628, 1.000367942,
2386.241093935, 1.000165679,
2386.261526341, 1.000236918,
2386.281958547, 1.000364303,
2386.302390853, 1.000316257,
2386.322823258, 1.000133352,
2386.343255462, 1.000396408,
2386.384120170, 1.000386027,
2386.404552373, 1.000405734,
2386.424984775, 1.000289328,
2386.445417077, 1.000477882,
2386.465849279, 1.000222261,
2386.486281680, 1.000103477,
2386.506713981, 1.000119054,
2386.527146181, 1.000189760,
2386.547578581, 1.000249044,
2386.568010880, 1.000145896,
2386.588443179, 1.000052134,
2386.608875477, 1.000262933,
2386.629307775, 1.000134600,
2386.649740172, 1.000184437,
2386.670172369, 1.000172291,
2386.690604666, 1.000267622,
2386.711036961, 1.000205262,
2386.731469257, 1.000102655,
2386.751901552, 1.000210408,
2386.772333846, 1.000261663,
2386.792766140, 1.000165092,
2386.813198434, 1.000123702,
2386.833630827, 1.000294167,
2386.854063019, 1.000338806,
2386.874495312, 1.000220420,
2386.894927703, 1.000234355,
2386.915359895, 1.000245351,
2386.935792185, 1.000300074,
2386.956224575, 1.000242947,
2386.976656765, 1.000242764,
2386.997089155, 1.000152190,
2387.017521443, 1.000170781,
2387.037953632, 1.000018625,
2387.058386020, 1.000257973,
2387.078818307, 1.000241787,
2387.099250594, 1.000202780,
2387.119682880, 1.000160238,
2387.140115166, 1.000138352,
2387.160547452, 1.000182256,
2387.180979737, 1.000344159,
2387.201412022, 1.000199255,
2387.221844306, 1.000212949,
2387.242276689, 1.000223445,
2387.262708872, 1.000331950,
2387.283141155, 1.000322656,
2387.303573538, 1.000381108,
2387.324005719, 1.000443443,
2387.344438101, 1.000328473,
2387.364870381, 1.000178752,
2387.385302562, 1.000089797,
2387.405734942, 1.000236123,
2387.426167121, 1.000078331,
2387.446599400, 1.000105321,
2387.467031778, 1.000145035,
2387.487463956, 1.000301322,
2387.507896234, 1.000203084,
2387.528328611, 1.000038835,
2387.548760788, 1.000120149,
2387.569193064, 1.000208567,
2387.610057615, 1.000138999,
2387.630489890, 1.000182963,
2387.650922264, 1.000258887,
2387.671354538, 1.000091661,
2387.691786811, 1.000138322,
2387.712219084, 1.000208144,
2387.732651356, 1.000049174,
2387.753083728, 1.000133670,
2387.773515900, 0.999956506,
2387.793948171, 1.000200628,
2387.814380541, 1.000079774,
2387.834812711, 1.000225699,
2387.855244981, 1.000201762,
2387.875677350, 0.999996926,
2387.896109519, 0.999978391,
2387.916541787, 0.999983941,
2387.936974155, 1.000225485,
2387.957406322, 1.000062852,
2387.977838589, 1.000052578,
2387.998270955, 0.999898409,
2388.018703121, 0.999846251,
2388.039135486, 0.999932501,
2388.059567751, 0.999873420,
2388.080000016, 0.999907028,
2388.100432280, 0.999933499,
2388.120864543, 0.999940940,
2388.141296807, 0.999935913,
2388.161729069, 0.999972959,
2388.182161331, 1.000042071,
2388.202593493, 1.000005236,
2388.223025854, 0.999793468,
2388.243458115, 0.999894557,
2388.263890275, 0.999806289,
2388.284322635, 0.999837152,
2388.304754894, 1.000233803,
2388.366051670, 0.999757649,
2388.386484028, 0.999912571,
