BJD - 2454833, Corrected Flux
2308.939526075, 0.992049508,
2308.959958017, 0.992193948,
2308.980390059, 0.991987229,
2309.000822001, 0.991919380,
2309.021253842, 0.991814057,
2309.041685883, 0.991939733,
2309.062117823, 0.992190745,
2309.082549664, 0.991966171,
2309.102981703, 0.992160632,
2309.123413643, 0.991908400,
2309.143845482, 0.992007800,
2309.164277520, 0.991958586,
2309.184709459, 0.992000181,
2309.205141296, 0.991890524,
2309.225573334, 0.991837263,
2309.246005271, 0.991656343,
2309.266437208, 0.991997916,
2309.286869144, 0.992013889,
2309.307301080, 0.991843526,
2309.327733016, 0.991893335,
2309.348164951, 0.991755220,
2309.368596886, 0.991804366,
2309.389028920, 0.991724966,
2309.409460755, 0.991816482,
2309.429892688, 0.991756429,
2309.450324722, 0.991677237,
2309.470756655, 0.992098514,
2309.511620520, 0.991627410,
2309.532052452, 0.991618735,
2309.552484283, 0.991725250,
2309.572916315, 0.991864881,
2309.593348246, 0.991746615,
2309.613780076, 0.991717611,
2309.634212106, 0.991664501,
2309.654643936, 0.991691914,
2309.675075865, 0.991659582,
2309.695507894, 0.991577154,
2309.715939723, 0.991571700,
2309.736371651, 0.991605637,
2309.756803679, 0.991672966,
2309.777235507, 0.991629965,
2309.797667434, 0.991709125,
2309.818099461, 0.991579984,
2309.838531387, 0.991486318,
2309.858963313, 0.991566321,
2309.879395239, 0.991558464,
2309.899827164, 0.991629525,
2309.920259189, 0.991478665,
2309.940691014, 0.991523023,
2309.961122938, 0.991502351,
2309.981554962, 0.991509459,
2310.001986786, 0.991606915,
2310.022418709, 0.991555838,
2310.042850732, 0.991473533,
2310.063282554, 0.991570908,
2310.083714476, 0.991509042,
2310.104146498, 0.991646613,
2310.124578319, 0.991488222,
2310.145010240, 0.991417865,
2310.165442261, 0.991611808,
2310.185874081, 0.991404302,
2310.206306001, 0.991342181,
2310.226738021, 0.991540885,
2310.247169840, 0.991420001,
2310.267601759, 0.991229022,
2310.288033777, 0.991293711,
2310.308465696, 0.991596241,
2310.328897613, 0.991627147,
2310.349329531, 0.991367375,
2310.369761348, 0.991808033,
2310.390193364, 0.991701047,
2310.410625281, 0.991836369,
2310.431057097, 0.991498015,
2310.451489112, 0.991452380,
2310.492352842, 0.991468660,
2310.512784857, 0.991499202,
2310.533216771, 0.991696531,
2310.553648585, 0.991376608,
2310.574080599, 0.991605383,
2310.594512512, 0.991477756,
2310.614944324, 0.991421282,
2310.635376337, 0.991529076,
2310.655808249, 0.991407134,
2310.676240161, 0.991449901,
2310.696672072, 0.991555457,
2310.737535893, 0.991276958,
2310.757967904, 0.991571708,
2310.778399714, 0.991488394,
2310.798831623, 0.991541506,
2310.819263632, 0.991548963,
