Radius(pc) TotalMass DiskMass BulgeMass 
16095.00 168033507152.97 131327965884.62 26360153486.89 
16096.00 168038321321.72 131332393371.95 26360156626.12 
16097.00 168043134791.61 131336820191.58 26360159764.20 
16098.00 168047947562.73 131341246343.58 26360162901.14 
16099.00 168052759635.15 131345671828.04 26360166036.92 
16100.00 168057571008.96 131350096645.02 26360169171.56 
16101.00 168062381684.24 131354520794.62 26360172305.05 
16102.00 168067191661.08 131358944276.90 26360175437.39 
16103.00 168072000939.54 131363367091.96 26360178568.59 
16104.00 168076809519.73 131367789239.86 26360181698.64 
16105.00 168081617401.71 131372210720.69 26360184827.54 
16106.00 168086424585.57 131376631534.52 26360187955.30 
16107.00 168091231071.40 131381051681.44 26360191081.91 
16108.00 168096036859.27 131385471161.52 26360194207.38 
16109.00 168100841949.28 131389889974.85 26360197331.71 
16110.00 168105646341.49 131394308121.50 26360200454.89 
16111.00 168110450035.99 131398725601.55 26360203576.93 
16112.00 168115253032.87 131403142415.08 26360206697.83 
16113.00 168120055332.20 131407558562.17 26360209817.58 
16114.00 168124856934.07 131411974042.90 26360212936.19 
16115.00 168129657838.56 131416388857.35 26360216053.66 
16116.00 168134458045.76 131420803005.59 26360219169.99 
16117.00 168139257555.74 131425216487.71 26360222285.18 
16118.00 168144056368.59 131429629303.79 26360225399.23 
16119.00 168148854484.39 131434041453.90 26360228512.15 
16120.00 168153651903.21 131438452938.12 26360231623.92 
16121.00 168158448625.16 131442863756.53 26360234734.55 
16122.00 168163244650.29 131447273909.22 26360237844.05 
16123.00 168168039978.71 131451683396.26 26360240952.40 
16124.00 168172834610.49 131456092217.73 26360244059.62 
16125.00 168177628545.70 131460500373.70 26360247165.71 
16126.00 168182421784.45 131464907864.27 26360250270.65 
16127.00 168187214326.79 131469314689.50 26360253374.47 
16128.00 168192006172.83 131473720849.48 26360256477.14 
16129.00 168196797322.64 131478126344.28 26360259578.68 
16130.00 168201587776.30 131482531173.99 26360262679.09 
16131.00 168206377533.89 131486935338.68 26360265778.36 
16132.00 168211166595.51 131491338838.43 26360268876.50 
16133.00 168215954961.22 131495741673.33 26360271973.51 
16134.00 168220742631.11 131500143843.44 26360275069.38 
16135.00 168225529605.26 131504545348.85 26360278164.12 
16136.00 168230315883.76 131508946189.65 26360281257.73 
16137.00 168235101466.69 131513346365.90 26360284350.21 
16138.00 168239886354.13 131517745877.68 26360287441.56 
16139.00 168244670546.16 131522144725.09 26360290531.77 
16140.00 168249454042.86 131526542908.18 26360293620.86 
16141.00 168254236844.32 131530940427.06 26360296708.82 
16142.00 168259018950.62 131535337281.78 26360299795.65 
16143.00 168263800361.84 131539733472.44 26360302881.35 
16144.00 168268581078.06 131544128999.10 26360305965.92 
16145.00 168273361099.36 131548523861.86 26360309049.36 
16146.00 168278140425.83 131552918060.79 26360312131.68 
16147.00 168282919057.55 131557311595.96 26360315212.87 
16148.00 168287696994.60 131561704467.46 26360318292.93 
16149.00 168292474237.06 131566096675.37 26360321371.87 
16150.00 168297250785.01 131570488219.76 26360324449.68 
16151.00 168302026638.54 131574879100.72 26360327526.37 
16152.00 168306801797.74 131579269318.32 26360330601.93 
16153.00 168311576262.67 131583658872.64 26360333676.37 
16154.00 168316350033.42 131588047763.76 26360336749.68 
16155.00 168321123110.08 131592435991.77 26360339821.87 
16156.00 168325895492.72 131596823556.73 26360342892.94 
16157.00 168330667181.44 131601210458.73 26360345962.89 
16158.00 168335438176.31 131605596697.85 26360349031.71 
16159.00 168340208477.40 131609982274.16 26360352099.41 
16160.00 168344978084.82 131614367187.75 26360355165.99 
16161.00 168349746998.63 131618751438.70 26360358231.46 
16162.00 168354515218.92 131623135027.07 26360361295.80 
16163.00 168359282745.77 131627517952.96 26360364359.02 
16164.00 168364049579.26 131631900216.45 26360367421.12 
16165.00 168368815719.48 131636281817.60 26360370482.10 
16166.00 168373581166.51 131640662756.50 26360373541.97 
16167.00 168378345920.42 131645043033.23 26360376600.71 
16168.00 168383109981.31 131649422647.86 26360379658.34 
16169.00 168387873349.25 131653801600.48 26360382714.85 
16170.00 168392636024.33 131658179891.17 26360385770.25 
16171.00 168397398006.62 131662557520.00 26360388824.53 
16172.00 168402159296.21 131666934487.06 26360391877.69 
16173.00 168406919893.18 131671310792.42 26360394929.74 
16174.00 168411679797.62 131675686436.15 26360397980.67 
16175.00 168416439009.60 131680061418.35 26360401030.49 
16176.00 168421197529.21 131684435739.09 26360404079.20 
16177.00 168425955356.53 131688809398.44 26360407126.79 
16178.00 168430712491.64 131693182396.50 26360410173.27 
16179.00 168435468934.62 131697554733.32 26360413218.63 
16180.00 168440224685.56 131701926409.01 26360416262.89 
16181.00 168444979744.53 131706297423.62 26360419306.03 
16182.00 168449734111.63 131710667777.25 26360422348.06 
16183.00 168454487786.92 131715037469.97 26360425388.98 
16184.00 168459240770.50 131719406501.86 26360428428.79 
16185.00 168463993062.45 131723774873.01 26360431467.49 
16186.00 168468744662.84 131728142583.48 26360434505.08 
16187.00 168473495571.76 131732509633.35 26360437541.56 
16188.00 168478245789.29 131736876022.72 26360440576.93 
16189.00 168482995315.51 131741241751.65 26360443611.20 
16190.00 168487744150.51 131745606820.22 26360446644.35 
16191.00 168492492294.36 131749971228.52 26360449676.40 
16192.00 168497239747.16 131754334976.61 26360452707.34 
16193.00 168501986508.97 131758698064.59 26360455737.18 
16194.00 168506732579.89 131763060492.53 26360458765.91 
16195.00 168511477959.99 131767422260.51 26360461793.53 
16196.00 168516222649.36 131771783368.61 26360464820.05 
16197.00 168520966648.08 131776143816.90 26360467845.47 
16198.00 168525709956.23 131780503605.47 26360470869.78 
16199.00 168530452573.89 131784862734.40 26360473892.98 
16200.00 168535194501.14 131789221203.75 26360476915.08 
16201.00 168539935738.07 131793579013.62 26360479936.08 
16202.00 168544676284.76 131797936164.08 26360482955.98 
16203.00 168549416141.29 131802292655.22 26360485974.77 
16204.00 168554155307.74 131806648487.10 26360488992.47 
16205.00 168558893784.20 131811003659.80 26360492009.06 
16206.00 168563631570.74 131815358173.42 26360495024.55 
16207.00 168568368667.45 131819712028.02 26360498038.94 
16208.00 168573105074.40 131824065223.69 26360501052.23 
16209.00 168577840791.69 131828417760.50 26360504064.42 
16210.00 168582575819.40 131832769638.53 26360507075.52 
16211.00 168587310157.59 131837120857.86 26360510085.51 
16212.00 168592043806.37 131841471418.57 26360513094.41 
16213.00 168596776765.81 131845821320.75 26360516102.21 
16214.00 168601509035.98 131850170564.46 26360519108.91 
16215.00 168606240616.98 131854519149.78 26360522114.51 
16216.00 168610971508.88 131858867076.81 26360525119.02 
16217.00 168615701711.77 131863214345.60 26360528122.43 
16218.00 168620431225.73 131867560956.26 26360531124.74 
16219.00 168625160050.84 131871906908.84 26360534125.97 
16220.00 168629888187.18 131876252203.43 26360537126.09 
16221.00 168634615634.84 131880596840.12 26360540125.12 
16222.00 168639342393.89 131884940818.97 26360543123.06 
16223.00 168644068464.42 131889284140.07 26360546119.91 
16224.00 168648793846.51 131893626803.50 26360549115.66 
16225.00 168653518540.24 131897968809.33 26360552110.32 
16226.00 168658242545.69 131902310157.65 26360555103.88 
16227.00 168662965862.95 131906650848.53 26360558096.36 
16228.00 168667688492.10 131910990882.06 26360561087.74 
16229.00 168672410433.21 131915330258.30 26360564078.04 
16230.00 168677131686.38 131919668977.34 26360567067.24 
16231.00 168681852251.68 131924007039.26 26360570055.35 
16232.00 168686572129.19 131928344444.14 26360573042.37 
16233.00 168691291319.00 131932681192.06 26360576028.31 
16234.00 168696009821.19 131937017283.09 26360579013.15 
16235.00 168700727635.84 131941352717.31 26360581996.91 
16236.00 168705444763.03 131945687494.81 26360584979.58 
16237.00 168710161202.84 131950021615.66 26360587961.16 
16238.00 168714876955.36 131954355079.93 26360590941.66 
16239.00 168719592020.67 131958687887.72 26360593921.07 
16240.00 168724306398.85 131963020039.10 26360596899.39 
16241.00 168729020089.97 131967351534.14 26360599876.63 
16242.00 168733733094.13 131971682372.93 26360602852.78 
16243.00 168738445411.41 131976012555.54 26360605827.85 
16244.00 168743157041.88 131980342082.05 26360608801.83 
16245.00 168747867985.63 131984670952.55 26360611774.73 
16246.00 168752578242.73 131988999167.11 26360614746.55 
16247.00 168757287813.28 131993326725.80 26360617717.28 
16248.00 168761996697.36 131997653628.72 26360620686.93 
16249.00 168766704895.04 132001979875.93 26360623655.50 
16250.00 168771412406.40 132006305467.52 26360626622.98 
16251.00 168776119231.54 132010630403.56 26360629589.39 
16252.00 168780825370.52 132014954684.14 26360632554.71 
16253.00 168785530823.44 132019278309.33 26360635518.95 
16254.00 168790235590.37 132023601279.21 26360638482.12 
16255.00 168794939671.40 132027923593.86 26360641444.20 
16256.00 168799643066.61 132032245253.35 26360644405.20 
16257.00 168804345776.07 132036566257.78 26360647365.13 
16258.00 168809047799.88 132040886607.21 26360650323.98 
16259.00 168813749138.11 132045206301.72 26360653281.74 
16260.00 168818449790.84 132049525341.40 26360656238.44 
16261.00 168823149758.17 132053843726.32 26360659194.05 
16262.00 168827849040.15 132058161456.57 26360662148.59 
16263.00 168832547636.89 132062478532.21 26360665102.05 
16264.00 168837245548.47 132066794953.33 26360668054.44 
16265.00 168841942774.95 132071110720.01 26360671005.75 
16266.00 168846639316.43 132075425832.32 26360673955.98 
16267.00 168851335172.99 132079740290.35 26360676905.14 
16268.00 168856030344.70 132084054094.18 26360679853.23 
16269.00 168860724831.66 132088367243.87 26360682800.24 
16270.00 168865418633.94 132092679739.52 26360685746.18 
16271.00 168870111751.62 132096991581.19 26360688691.05 
16272.00 168874804184.79 132101302768.98 26360691634.84 
16273.00 168879495933.52 132105613302.95 26360694577.57 
16274.00 168884186997.91 132109923183.19 26360697519.22 
16275.00 168888877378.02 132114232409.77 26360700459.80 
16276.00 168893567073.95 132118540982.78 26360703399.31 
16277.00 168898256085.77 132122848902.28 26360706337.75 
16278.00 168902944413.57 132127156168.37 26360709275.12 
16279.00 168907632057.42 132131462781.12 26360712211.42 
16280.00 168912319017.42 132135768740.61 26360715146.65 
16281.00 168917005293.63 132140074046.91 26360718080.81 
16282.00 168921690886.15 132144378700.11 26360721013.90 
16283.00 168926375795.05 132148682700.28 26360723945.93 
16284.00 168931060020.42 132152986047.51 26360726876.89 
16285.00 168935743562.34 132157288741.87 26360729806.78 
16286.00 168940426420.88 132161590783.43 26360732735.60 
16287.00 168945108596.14 132165892172.29 26360735663.36 
16288.00 168949790088.19 132170192908.52 26360738590.06 
16289.00 168954470897.11 132174492992.19 26360741515.69 
16290.00 168959151022.99 132178792423.39 26360744440.25 
16291.00 168963830465.91 132183091202.19 26360747363.75 
16292.00 168968509225.95 132187389328.67 26360750286.18 
16293.00 168973187303.19 132191686802.91 26360753207.56 
16294.00 168977864697.71 132195983625.00 26360756127.86 
16295.00 168982541409.59 132200279795.00 26360759047.11 
16296.00 168987217438.92 132204575313.00 26360761965.29 
16297.00 168991892785.78 132208870179.08 26360764882.42 
16298.00 168996567450.25 132213164393.31 26360767798.48 
16299.00 169001241432.41 132217457955.77 26360770713.48 
16300.00 169005914732.34 132221750866.55 26360773627.41 
16301.00 169010587350.13 132226043125.71 26360776540.29 
16302.00 169015259285.85 132230334733.35 26360779452.11 
16303.00 169019930539.59 132234625689.53 26360782362.87 
16304.00 169024601111.42 132238915994.34 26360785272.57 
16305.00 169029271001.44 132243205647.86 26360788181.21 
16306.00 169033940209.72 132247494650.15 26360791088.80 
16307.00 169038608736.35 132251783001.32 26360793995.32 
16308.00 169043276581.40 132256070701.42 26360796900.79 
16309.00 169047943744.95 132260357750.54 26360799805.20 
16310.00 169052610227.10 132264644148.76 26360802708.56 
16311.00 169057276027.92 132268929896.15 26360805610.86 
16312.00 169061941147.49 132273214992.81 26360808512.10 
16313.00 169066605585.89 132277499438.79 26360811412.29 
16314.00 169071269343.20 132281783234.19 26360814311.43 
16315.00 169075932419.52 132286066379.08 26360817209.51 
16316.00 169080594814.91 132290348873.54 26360820106.53 
16317.00 169085256529.46 132294630717.65 26360823002.50 
16318.00 169089917563.26 132298911911.48 26360825897.42 
16319.00 169094577916.37 132303192455.13 26360828791.29 
16320.00 169099237588.89 132307472348.65 26360831684.10 
16321.00 169103896580.90 132311751592.14 26360834575.87 
16322.00 169108554892.47 132316030185.67 26360837466.58 
16323.00 169113212523.70 132320308129.32 26360840356.24 
16324.00 169117869474.65 132324585423.17 26360843244.85 
16325.00 169122525745.42 132328862067.30 26360846132.41 
16326.00 169127181336.08 132333138061.78 26360849018.92 
16327.00 169131836246.72 132337413406.70 26360851904.38 
16328.00 169136490477.41 132341688102.13 26360854788.79 
16329.00 169141144028.25 132345962148.15 26360857672.15 
16330.00 169145796899.30 132350235544.84 26360860554.46 
16331.00 169150449090.65 132354508292.28 26360863435.73 
16332.00 169155100602.39 132358780390.55 26360866315.95 
16333.00 169159751434.59 132363051839.72 26360869195.12 
16334.00 169164401587.34 132367322639.88 26360872073.25 
16335.00 169169051060.72 132371592791.11 26360874950.33 
16336.00 169173699854.80 132375862293.47 26360877826.36 
16337.00 169178347969.68 132380131147.05 26360880701.35 
16338.00 169182995405.43 132384399351.93 26360883575.29 
16339.00 169187642162.13 132388666908.19 26360886448.19 
16340.00 169192288239.87 132392933815.91 26360889320.05 
16341.00 169196933638.73 132397200075.16 26360892190.86 
16342.00 169201578358.78 132401465686.02 26360895060.63 
16343.00 169206222400.11 132405730648.58 26360897929.36 
16344.00 169210865762.81 132409994962.90 26360900797.04 
16345.00 169215508446.95 132414258629.07 26360903663.68 
16346.00 169220150452.61 132418521647.17 26360906529.28 
16347.00 169224791779.88 132422784017.28 26360909393.84 
16348.00 169229432428.83 132427045739.47 26360912257.36 
16349.00 169234072399.56 132431306813.82 26360915119.84 
16350.00 169238711692.13 132435567240.41 26360917981.28 
16351.00 169243350306.64 132439827019.32 26360920841.68 
16352.00 169247988243.16 132444086150.63 26360923701.04 
16353.00 169252625501.77 132448344634.42 26360926559.36 
16354.00 169257262082.56 132452602470.76 26360929416.64 
16355.00 169261897985.61 132456859659.74 26360932272.89 
16356.00 169266533211.00 132461116201.43 26360935128.09 
16357.00 169271167758.81 132465372095.91 26360937982.27 
16358.00 169275801629.12 132469627343.26 26360940835.40 
16359.00 169280434822.01 132473881943.55 26360943687.50 
16360.00 169285067337.57 132478135896.87 26360946538.56 
16361.00 169289699175.88 132482389203.30 26360949388.59 
16362.00 169294330337.01 132486641862.91 26360952237.58 
16363.00 169298960821.05 132490893875.78 26360955085.53 
16364.00 169303590628.08 132495145241.99 26360957932.46 
16365.00 169308219758.19 132499395961.62 26360960778.35 
16366.00 169312848211.45 132503646034.75 26360963623.20 
16367.00 169317475987.94 132507895461.45 26360966467.03 
16368.00 169322103087.75 132512144241.81 26360969309.82 
16369.00 169326729510.96 132516392375.90 26360972151.57 
16370.00 169331355257.64 132520639863.80 26360974992.30 
16371.00 169335980327.89 132524886705.59 26360977832.00 
16372.00 169340604721.78 132529132901.35 26360980670.66 
16373.00 169345228439.39 132533378451.15 26360983508.29 
16374.00 169349851480.81 132537623355.08 26360986344.90 
16375.00 169354473846.11 132541867613.21 26360989180.47 
16376.00 169359095535.39 132546111225.62 26360992015.02 
16377.00 169363716548.71 132550354192.39 26360994848.53 
16378.00 169368336886.16 132554596513.60 26360997681.02 
16379.00 169372956547.82 132558838189.33 26361000512.48 
16380.00 169377575533.78 132563079219.65 26361003342.91 
16381.00 169382193844.11 132567319604.65 26361006172.31 
16382.00 169386811478.89 132571559344.40 26361009000.69 
16383.00 169391428438.22 132575798438.98 26361011828.04 
16384.00 169396044722.16 132580036888.47 26361014654.37 
16385.00 169400660330.80 132584274692.95 26361017479.67 
16386.00 169405275264.22 132588511852.49 26361020303.94 
16387.00 169409889522.51 132592748367.18 26361023127.19 
16388.00 169414503105.74 132596984237.08 26361025949.41 
16389.00 169419116014.00 132601219462.29 26361028770.61 
16390.00 169423728247.36 132605454042.88 26361031590.79 
16391.00 169428339805.91 132609687978.93 26361034409.95 
16392.00 169432950689.73 132613921270.52 26361037228.08 
16393.00 169437560898.90 132618153917.71 26361040045.18 
16394.00 169442170433.50 132622385920.61 26361042861.27 
16395.00 169446779293.62 132626617279.27 26361045676.34 
16396.00 169451387479.33 132630847993.78 26361048490.38 
16397.00 169455994990.72 132635078064.22 26361051303.40 
16398.00 169460601827.87 132639307490.67 26361054115.41 
16399.00 169465207990.85 132643536273.20 26361056926.39 
16400.00 169469813479.75 132647764411.90 26361059736.35 
16401.00 169474418294.66 132651991906.84 26361062545.29 
16402.00 169479022435.65 132656218758.10 26361065353.22 
16403.00 169483625902.80 132660444965.75 26361068160.13 
16404.00 169488228696.20 132664670529.89 26361070966.01 
16405.00 169492830815.92 132668895450.58 26361073770.88 
16406.00 169497432262.05 132673119727.90 26361076574.74 
16407.00 169502033034.68 132677343361.93 26361079377.58 
16408.00 169506633133.87 132681566352.76 26361082179.40 
16409.00 169511232559.71 132685788700.45 26361084980.20 
16410.00 169515831312.29 132690010405.09 26361087779.99 
16411.00 169520429391.68 132694231466.75 26361090578.76 
16412.00 169525026797.96 132698451885.52 26361093376.52 
16413.00 169529623531.23 132702671661.47 26361096173.27 
16414.00 169534219591.55 132706890794.68 26361098969.00 
16415.00 169538814979.01 132711109285.23 26361101763.71 
16416.00 169543409693.69 132715327133.20 26361104557.42 
16417.00 169548003735.68 132719544338.66 26361107350.11 
16418.00 169552597105.04 132723760901.70 26361110141.79 
16419.00 169557189801.87 132727976822.38 26361112932.45 
16420.00 169561781826.25 132732192100.80 26361115722.11 
16421.00 169566373178.26 132736406737.03 26361118510.75 
16422.00 169570963857.97 132740620731.14 26361121298.38 
16423.00 169575553865.47 132744834083.22 26361124085.01 
16424.00 169580143200.84 132749046793.34 26361126870.62 
16425.00 169584731864.17 132753258861.58 26361129655.22 
16426.00 169589319855.52 132757470288.02 26361132438.81 
16427.00 169593907174.99 132761681072.75 26361135221.40 
16428.00 169598493822.66 132765891215.82 26361138002.97 
16429.00 169603079798.60 132770100717.34 26361140783.54 
16430.00 169607665102.91 132774309577.36 26361143563.10 
16431.00 169612249735.65 132778517795.98 26361146341.66 
16432.00 169616833696.91 132782725373.27 26361149119.20 
16433.00 169621416986.77 132786932309.30 26361151895.74 
16434.00 169625999605.32 132791138604.16 26361154671.28 
16435.00 169630581552.63 132795344257.93 26361157445.80 
16436.00 169635162828.78 132799549270.68 26361160219.33 
16437.00 169639743433.86 132803753642.49 26361162991.84 
16438.00 169644323367.95 132807957373.44 26361165763.36 
16439.00 169648902631.13 132812160463.61 26361168533.87 
16440.00 169653481223.48 132816362913.07 26361171303.37 
16441.00 169658059145.08 132820564721.91 26361174071.88 
16442.00 169662636396.01 132824765890.19 26361176839.37 
16443.00 169667212976.35 132828966418.01 26361179605.87 
16444.00 169671788886.19 132833166305.44 26361182371.37 
16445.00 169676364125.61 132837365552.56 26361185135.86 
16446.00 169680938694.68 132841564159.44 26361187899.35 
16447.00 169685512593.49 132845762126.16 26361190661.84 
16448.00 169690085822.12 132849959452.81 26361193423.33 
16449.00 169694658380.65 132854156139.46 26361196183.82 
16450.00 169699230269.16 132858352186.18 26361198943.31 
16451.00 169703801487.73 132862547593.06 26361201701.80 
16452.00 169708372036.45 132866742360.18 26361204459.30 
16453.00 169712941915.39 132870936487.61 26361207215.79 
16454.00 169717511124.64 132875129975.43 26361209971.28 
16455.00 169722079664.28 132879322823.72 26361212725.78 
16456.00 169726647534.38 132883515032.55 26361215479.28 
16457.00 169731214735.03 132887706602.02 26361218231.79 
16458.00 169735781266.32 132891897532.18 26361220983.29 
16459.00 169740347128.31 132896087823.13 26361223733.80 
16460.00 169744912321.10 132900277474.94 26361226483.32 
16461.00 169749476844.77 132904466487.69 26361229231.84 
16462.00 169754040699.38 132908654861.45 26361231979.36 
16463.00 169758603885.04 132912842596.31 26361234725.89 
16464.00 169763166401.81 132917029692.34 26361237471.42 
16465.00 169767728249.78 132921216149.62 26361240215.97 
16466.00 169772289429.03 132925401968.23 26361242959.51 
16467.00 169776849939.64 132929587148.25 26361245702.07 
16468.00 169781409781.69 132933771689.76 26361248443.63 
16469.00 169785968955.26 132937955592.83 26361251184.20 
16470.00 169790527460.44 132942138857.54 26361253923.78 
16471.00 169795085297.30 132946321483.97 26361256662.36 
16472.00 169799642465.93 132950503472.20 26361259399.96 
16473.00 169804198966.40 132954684822.31 26361262136.56 
16474.00 169808754798.80 132958865534.37 26361264872.17 
16475.00 169813309963.22 132963045608.46 26361267606.80 
16476.00 169817864459.72 132967225044.67 26361270340.43 
16477.00 169822418288.39 132971403843.06 26361273073.08 
16478.00 169826971449.32 132975582003.72 26361275804.73 
16479.00 169831523942.57 132979759526.73 26361278535.40 
16480.00 169836075768.25 132983936412.16 26361281265.08 
16481.00 169840626926.42 132988112660.09 26361283993.77 
16482.00 169845177417.16 132992288270.60 26361286721.48 
16483.00 169849727240.56 132996463243.77 26361289448.20 
16484.00 169854276396.70 133000637579.67 26361292173.93 
16485.00 169858824885.66 133004811278.39 26361294898.67 
16486.00 169863372707.52 133008984340.01 26361297622.43 
16487.00 169867919862.36 133013156764.59 26361300345.21 
16488.00 169872466350.27 133017328552.22 26361303067.00 
16489.00 169877012171.32 133021499702.97 26361305787.80 
16490.00 169881557325.59 133025670216.93 26361308507.62 
16491.00 169886101813.16 133029840094.18 26361311226.46 
16492.00 169890645634.13 133034009334.78 26361313944.31 
16493.00 169895188788.56 133038177938.83 26361316661.18 
16494.00 169899731276.54 133042345906.39 26361319377.07 
16495.00 169904273098.15 133046513237.54 26361322091.97 
16496.00 169908814253.47 133050679932.37 26361324805.90 
16497.00 169913354742.58 133054845990.95 26361327518.84 
16498.00 169917894565.57 133059011413.36 26361330230.80 
16499.00 169922433722.50 133063176199.67 26361332941.78 
16500.00 169926972213.47 133067340349.98 26361335651.78 
16501.00 169931510038.56 133071503864.34 26361338360.80 
16502.00 169936047197.84 133075666742.85 26361341068.84 
16503.00 169940583691.41 133079828985.57 26361343775.90 
16504.00 169945119519.32 133083990592.60 26361346481.98 
16505.00 169949654681.68 133088151564.00 26361349187.09 
16506.00 169954189178.56 133092311899.85 26361351891.21 
16507.00 169958723010.04 133096471600.23 26361354594.36 
16508.00 169963256176.20 133100630665.23 26361357296.53 
16509.00 169967788677.12 133104789094.91 26361359997.73 
16510.00 169972320512.89 133108946889.36 26361362697.95 
16511.00 169976851683.58 133113104048.65 26361365397.19 
16512.00 169981382189.28 133117260572.87 26361368095.45 
16513.00 169985912030.07 133121416462.08 26361370792.75 
16514.00 169990441206.02 133125571716.37 26361373489.06 
16515.00 169994969717.22 133129726335.82 26361376184.40 
16516.00 169999497563.75 133133880320.50 26361378878.77 
16517.00 170004024745.69 133138033670.50 26361381572.16 
16518.00 170008551263.12 133142186385.88 26361384264.58 
16519.00 170013077116.13 133146338466.73 26361386956.03 
16520.00 170017602304.78 133150489913.13 26361389646.50 
16521.00 170022126829.17 133154640725.15 26361392336.00 
16522.00 170026650689.38 133158790902.88 26361395024.53 
16523.00 170031173885.48 133162940446.38 26361397712.09 
16524.00 170035696417.56 133167089355.75 26361400398.68 
16525.00 170040218285.69 133171237631.04 26361403084.30 
16526.00 170044739489.97 133175385272.36 26361405768.94 
16527.00 170049260030.46 133179532279.76 26361408452.62 
16528.00 170053779907.25 133183678653.34 26361411135.33 
16529.00 170058299120.43 133187824393.16 26361413817.06 
16530.00 170062817670.06 133191969499.31 26361416497.83 
16531.00 170067335556.24 133196113971.86 26361419177.63 
16532.00 170071852779.04 133200257810.89 26361421856.46 
16533.00 170076369338.55 133204401016.49 26361424534.33 
16534.00 170080885234.84 133208543588.72 26361427211.22 
16535.00 170085400468.00 133212685527.66 26361429887.15 
16536.00 170089915038.10 133216826833.40 26361432562.12 
16537.00 170094428945.23 133220967506.02 26361435236.11 
16538.00 170098942189.47 133225107545.58 26361437909.14 
16539.00 170103454770.90 133229246952.17 26361440581.21 
16540.00 170107966689.60 133233385725.86 26361443252.31 
16541.00 170112477945.65 133237523866.74 26361445922.45 
16542.00 170116988539.13 133241661374.88 26361448591.62 
16543.00 170121498470.13 133245798250.36 26361451259.83 
16544.00 170126007738.72 133249934493.25 26361453927.07 
16545.00 170130516344.98 133254070103.64 26361456593.35 
16546.00 170135024289.00 133258205081.60 26361459258.67 
16547.00 170139531570.85 133262339427.22 26361461923.03 
16548.00 170144038190.62 133266473140.56 26361464586.42 
16549.00 170148544148.39 133270606221.71 26361467248.85 
16550.00 170153049444.24 133274738670.74 26361469910.32 
16551.00 170157554078.24 133278870487.74 26361472570.83 
16552.00 170162058050.49 133283001672.78 26361475230.38 
16553.00 170166561361.05 133287132225.93 26361477888.97 
16554.00 170171064010.02 133291262147.28 26361480546.60 
16555.00 170175565997.47 133295391436.91 26361483203.27 
16556.00 170180067323.48 133299520094.89 26361485858.98 
16557.00 170184567988.14 133303648121.29 26361488513.73 
16558.00 170189067991.52 133307775516.21 26361491167.53 
16559.00 170193567333.70 133311902279.71 26361493820.36 
16560.00 170198066014.77 133316028411.87 26361496472.24 
16561.00 170202564034.81 133320153912.78 26361499123.16 
16562.00 170207061393.90 133324278782.50 26361501773.13 
16563.00 170211558092.11 133328403021.12 26361504422.14 
16564.00 170216054129.53 133332526628.72 26361507070.19 
16565.00 170220549506.24 133336649605.36 26361509717.29 
16566.00 170225044222.33 133340771951.14 26361512363.43 
16567.00 170229538277.86 133344893666.13 26361515008.61 
16568.00 170234031672.93 133349014750.40 26361517652.84 
16569.00 170238524407.60 133353135204.04 26361520296.12 
16570.00 170243016481.97 133357255027.12 26361522938.45 
16571.00 170247507896.12 133361374219.72 26361525579.82 
16572.00 170251998650.12 133365492781.92 26361528220.23 
16573.00 170256488744.05 133369610713.79 26361530859.70 
16574.00 170260978178.00 133373728015.41 26361533498.21 
16575.00 170265466952.05 133377844686.87 26361536135.77 
16576.00 170269955066.27 133381960728.24 26361538772.38 
16577.00 170274442520.76 133386076139.59 26361541408.04 
16578.00 170278929315.58 133390190921.00 26361544042.74 
16579.00 170283415450.82 133394305072.56 26361546676.50 
16580.00 170287900926.56 133398418594.34 26361549309.31 
16581.00 170292385742.88 133402531486.42 26361551941.16 
16582.00 170296869899.87 133406643748.87 26361554572.07 
16583.00 170301353397.59 133410755381.78 26361557202.03 
16584.00 170305836236.14 133414866385.21 26361559831.04 
16585.00 170310318415.59 133418976759.26 26361562459.10 
16586.00 170314799936.03 133423086503.99 26361565086.21 
16587.00 170319280797.53 133427195619.49 26361567712.38 
16588.00 170323761000.18 133431304105.83 26361570337.60 
16589.00 170328240544.05 133435411963.09 26361572961.87 
16590.00 170332719429.23 133439519191.35 26361575585.20 
16591.00 170337197655.80 133443625790.68 26361578207.58 
16592.00 170341675223.83 133447731761.17 26361580829.01 
16593.00 170346152133.41 133451837102.89 26361583449.50 
16594.00 170350628384.63 133455941815.92 26361586069.05 
16595.00 170355103977.55 133460045900.33 26361588687.65 
16596.00 170359578912.26 133464149356.21 26361591305.30 
16597.00 170364053188.84 133468252183.63 26361593922.01 
16598.00 170368526807.38 133472354382.67 26361596537.78 
16599.00 170372999767.95 133476455953.41 26361599152.61 
16600.00 170377472070.63 133480556895.92 26361601766.49 
16601.00 170381943715.50 133484657210.29 26361604379.43 
16602.00 170386414702.65 133488756896.59 26361606991.43 
16603.00 170390885032.15 133492855954.89 26361609602.49 
16604.00 170395354704.09 133496954385.28 26361612212.60 
16605.00 170399823718.54 133501052187.84 26361614821.78 
16606.00 170404292075.59 133505149362.64 26361617430.01 
16607.00 170408759775.32 133509245909.76 26361620037.31 
16608.00 170413226817.81 133513341829.27 26361622643.66 
16609.00 170417693203.13 133517437121.26 26361625249.08 
16610.00 170422158931.37 133521531785.80 26361627853.55 
16611.00 170426624002.61 133525625822.98 26361630457.09 
